1.1,2.352941177,1.176470588,-5.322916667,2.525,1.764705883,0.882352941,2.525,1.764705883
2.1,2.352941177,1.176470588,-5.829166667,2.775,2.05882353,1.029411765,2.775,2.05882353
3.1,2.647058824,1.323529412,-6.335416667,1.5125,2.05882353,1.029411765,1.5125,2.05882353
4.1,2.647058824,1.323529412,-6.841666667,1.258333333,2.254901961,1.127450981,1.258333333,2.254901961
5.1,2.352941177,1.176470588,-7.347916667,0.752083333,2.401960785,1.200980393,0.752083333,2.401960785
6.1,2.352941177,1.176470588,-7.854166667,0.245833333,2.549019608,1.274509805,0.245833333,2.549019608
7.1,0.775,2,0.5,-0.260416667,2.696078432,1.348039217,-0.260416667,2.696078432
8.1,1.025,2,0.5,-0.766666667,2.843137255,1.421568629,-0.766666667,2.843137255
9.1,1.275,3,0.75,-1.272916667,2.990196079,1.495098041,-1.272916667,2.990196079
10.1,1.525,3,0.75,-1.779166667,3.137254902,1.568627453,-1.779166667,3.137254902
11.1,1.775,4,1,-2.285416667,3.284313726,1.642156865,-2.285416667,3.284313726
12.1,2.025,4,1,-2.791666667,3.431372549,1.715686277,-2.791666667,3.431372549
13.1,2.275,5,1.25,-3.297916667,3.578431373,1.789215689,-3.297916667,3.578431373
14.1,2.525,1.764705883,0.882352941,-3.804166667,3.725490196,1.862745101,-3.804166667,3.725490196
15.1,2.775,2.05882353,1.029411765,-4.310416667,3.87254902,1.936274513,-4.310416667,3.87254902
16.1,1.5125,2.05882353,1.029411765,-4.816666667,4.019607843,2.009803925,-4.816666667,4.019607843
17.1,1.6375,2.352941177,1.176470588,-5.322916667,4.166666667,2.083333337,-5.322916667,4.166666667
18.1,1.7625,2.352941177,1.176470588,-5.829166667,4.31372549,2.156862749,-5.829166667,4.31372549
19.1,1.8875,2.647058824,1.323529412,-6.335416667,4.460784314,2.230392161,-6.335416667,4.460784314
20.1,2.0125,2.647058824,1.323529412,-6.841666667,4.607843137,2.303921573,-6.841666667,4.607843137
21.1,2.1375,2.352941177,1.176470588,-7.347916667,4.754901961,2.377450985,-7.347916667,4.754901961
22.1,2.2625,2.352941177,1.176470588,-7.854166667,4.901960784,2.450980397,-7.854166667,4.901960784
23.1,2.3875,1.176470588,0.588235294,-8.360416667,5.049019608,2.524509809,-8.360416667,5.049019608
24.1,2.5125,1.176470588,0.588235294,-8.866666667,5.196078431,2.598039221,-8.866666667,5.196078431
25.1,5.275,3,0.75,-9.372916667,5.343137255,2.671568633,-9.372916667,5.343137255
26.1,5.525,3,0.75,-9.879166667,5.490196078,2.745098045,-9.879166667,5.490196078
